id,TLE_LINE1,TLE_LINE2
STARLINK-32494,1 62053U 24216X   26085.68746839  .00018857  00000-0  69262-3 0  9990,2 62053  43.0002 167.3858 0001577 249.8519 110.2163 15.27598519 76394
STARLINK-32408,1 62054U 24216Y   26085.67815775  .00019378  00000-0  71090-3 0  9997,2 62054  43.0010 160.3924 0001749 292.6507  67.4159 15.27624113 76483
STARLINK-32571,1 62055U 24216Z   26085.63704266  .00027125  00000-0  99072-3 0  9995,2 62055  43.0011 160.0832 0001283 269.6807  90.3898 15.27609459 76571
STARLINK-11465,1 62057U 24217A   26085.92685229  .00362905  00000-0  28440-2 0  9995,2 62057  53.1566 346.0777 0001020 169.0401 191.0639 15.69939543 77889
STARLINK-11426,1 62058U 24217B   26085.92194876  .00347241  00000-0  27294-2 0  9991,2 62058  53.1583 346.0441 0001945  95.6817 264.4423 15.69915775 77829
STARLINK-11454,1 62059U 24217C   26085.95628235  .00194175  00000-0  15655-2 0  9990,2 62059  53.1576 346.2702 0000899 121.7833 238.3273 15.69785142 77882
STARLINK-11473,1 62060U 24217D   26085.96609508  .00121536  00000-0  99187-3 0  9999,2 62060  53.1581 346.3351 0001046  84.9996 275.1142 15.69746932 77884
STARLINK-11429,1 62061U 24217E   26085.95137801  .00195788  00000-0  15782-2 0  9999,2 62061  53.1580 346.2374 0001175 112.8225 247.2917 15.69784673 77881
STARLINK-11470,1 62062U 24217F   26085.94647620  .00197164  00000-0  15920-2 0  9998,2 62062  53.1576 346.2030 0001519  31.5565 328.5543 15.69738174 77829
STARLINK-11427,1 62063U 24217G   26085.96119378  .00196521  00000-0  15870-2 0  9995,2 62063  53.1583 346.3017 0001279  30.4002 329.7090 15.69737397 77883
STARLINK-11456,1 62064U 24217H   26085.93175558  .00190270  00000-0  15357-2 0  9990,2 62064  53.1577 346.1077 0001253 119.6133 240.5010 15.69771132 77885
STARLINK-11474,1 62065U 24217J   26085.98071095  .00101276  00000-0  82966-3 0  9996,2 62065  53.1573 345.6958 0000932  85.9246 274.1879 15.69738045 77890
STARLINK-11463,1 62066U 24217K   26085.94156856  .00214968  00000-0  17314-2 0  9999,2 62066  53.1573 346.1712 0001186  72.6071 287.5077 15.69741584 77885
STARLINK-11472,1 62067U 24217L   26085.97590753  .00240418  00000-0  19298-2 0  9993,2 62067  53.1575 346.3973 0000898  77.6639 282.4479 15.69741091 77819
STARLINK-11467,1 62068U 24217M   26085.93666412  .00235276  00000-0  18901-2 0  9992,2 62068  53.1577 346.1386 0001077  23.0617 337.0449 15.69737444 77887
STARLINK-11460,1 62069U 24217N   26085.97099793  .00123082  00000-0  10036-2 0  9991,2 62069  53.1579 346.3630 0001045 129.0570 231.0541 15.69763210 77824
STARLINK-32604,1 62070U 24217P   26085.51498888  .00013494  00000-0  46672-3 0  9992,2 62070  53.1591 116.0118 0001412  68.8086 291.3065 15.30212294 75998
STARLINK-32553,1 62071U 24217Q   26085.38330190  .00014326  00000-0  49473-3 0  9996,2 62071  53.1591 116.6104 0001235  80.7642 279.3498 15.30209614 76027
STARLINK-32603,1 62072U 24217R   26085.50232236  .00016187  00000-0  55738-3 0  9991,2 62072  53.1581 115.9297 0000991  93.0055 267.1059 15.30203541 76048
STARLINK-32444,1 62073U 24217S   26085.36536342  .00008493  00000-0  29850-3 0  9998,2 62073  53.1590 116.5137 0001010  62.1722 297.9381 15.30202831 75971
STARLINK-32619,1 62074U 24217T   26085.51921447  .00015915  00000-0  54841-3 0  9995,2 62074  53.1588 116.0361 0001204  95.7296 264.3842 15.30193785 75995
STARLINK-32580,1 62075U 24217U   26085.89893200  .00025404  00000-0  86645-3 0  9993,2 62075  53.1600 101.3545 0001518  82.1599 277.9574 15.30216745 76238
STARLINK-32617,1 62076U 24217V   26085.35003678  .00019020  00000-0  65264-3 0  9998,2 62076  53.1584 103.6191 0001199  86.9773 273.1365 15.30201177 76153
CZ-2C R/B,1 62078U 24218A   26085.94372955  .00007251  00000-0  30146-3 0  9997,2 62078  97.5407 101.0626 0043510 298.6329  61.0534 15.23227065 73939
SUPERVIEW NEO-2 03,1 62079U 24218B   26084.43022727  .00000606  00000-0  31550-4 0  9998,2 62079  97.4392  92.9512 0001660  87.9067 272.2358 15.19719025 73726
SUPERVIEW NEO-2 04,1 62080U 24218C   26084.56191348  .00001452  00000-0  71141-4 0  9990,2 62080  97.4394  93.0859 0001364 110.2954 249.8428 15.19719996 73749
KINEIS-5C,1 62081U 24219A   26085.96135581 -.00001387  00000-0 -21157-3 0  9994,2 62081  97.9389 247.0403 0003715 124.7048 235.4510 14.72345270 71650
KINEIS-5D,1 62082U 24219B   26085.99559002  .00000944  00000-0  15699-3 0  9996,2 62082  97.9324 247.0367 0003890 137.5712 222.5797 14.72335489 71669
KINEIS-5E,1 62083U 24219C   26085.06085587  .00000294  00000-0  54155-4 0  9996,2 62083  97.9388 246.3225 0005315 119.1546 241.0195 14.72340406 71539
KINEIS-5A,1 62084U 24219D   26085.97813453  .00001095  00000-0  18126-3 0  9995,2 62084  97.9577 247.3596 0004800 149.8685 210.2799 14.72227714 71673
KINEIS-5B,1 62085U 24219E   26085.94072374  .00001554  00000-0  22185-3 0  9992,2 62085  97.9971 250.2995 0002617 146.7989 213.3387 14.78131527 71854
ELECTRON KICK STAGE R/B,1 62086U 24219F   26085.95933960  .00005493  00000-0  47914-3 0  9994,2 62086  97.9805 261.9901 0051397 225.4263 134.2757 14.96265164 72641
STARLINK-11384,1 62088U 24220A   26085.95058253  .00238296  00000-0  18028-2 0  9993,2 62088  42.9999 299.4074 0001733 275.9747  84.0923 15.70905976 77760
STARLINK-11379,1 62089U 24220B   26085.62735765  .00194634  00000-0  14863-2 0  9998,2 62089  42.9981 301.2823 0001331 308.9978  51.0771 15.70819571 77617
STARLINK-11387,1 62090U 24220C   26085.93996732  .00159968  00000-0  12248-2 0  9993,2 62090  42.9987 299.3218 0000976 277.2295  82.8461 15.70870148 77765
STARLINK-11389,1 62091U 24220D   26085.61674016  .00202885  00000-0  15432-2 0  9992,2 62091  42.9970 301.1970 0001198 279.8046  80.2687 15.70888396 77614
STARLINK-11388,1 62092U 24220E   26085.92934595  .00198517  00000-0  15079-2 0  9991,2 62092  42.9996 299.2373 0002140 272.0397  88.0226 15.70933924 77667
STARLINK-11345,1 62093U 24220F   26085.91668981 -.00066020  00000-0 -51473-3 0  9998,2 62093  43.0003 299.2415 0001686 271.3800  47.0923 15.70855896  5976
STARLINK-11381,1 62094U 24220G   26085.85514451  .00201904  00000-0  15383-2 0  9993,2 62094  42.9984 299.5334 0002081 282.6942  77.3693 15.70851040 77659
STARLINK-11369,1 62095U 24220H   26084.89608804  .00158910  00000-0  12168-2 0  9999,2 62095  43.0014 305.2410 0001862 258.8787 101.1871 15.70871392 77605
STARLINK-11303,1 62096U 24220J   26085.97169155  .00215703  00000-0  16384-2 0  9999,2 62096  43.0006 298.6835 0001760 267.3469  92.7197 15.70881147 77775
STARLINK-11367,1 62097U 24220K   26084.88546784  .00180964  00000-0  13782-2 0  9995,2 62097  42.9988 305.1541 0002015 247.3509 112.7146 15.70927912 77608
STARLINK-11386,1 62098U 24220L   26085.64315338  .00067952  00000-0  52763-3 0  9994,2 62098  43.0009 300.5133 0001443 264.2632  95.8071 15.70890229 77620
