CCSDS_OMM_VERS:COMMENT:CREATION_DATE:ORIGINATOR:OBJECT_NAME:OBJECT_ID:CENTER_NAME:REF_FRAME:TIME_SYSTEM:MEAN_ELEMENT_THEORY:EPOCH:MEAN_MOTION:ECCENTRICITY:INCLINATION:RA_OF_ASC_NODE:ARG_OF_PERICENTER:MEAN_ANOMALY:EPHEMERIS_TYPE:CLASSIFICATION_TYPE:NORAD_CAT_ID:ELEMENT_SET_NO:REV_AT_EPOCH:BSTAR:MEAN_MOTION_DOT:MEAN_MOTION_DDOT:SEMIMAJOR_AXIS:PERIOD:APOAPSIS:PERIAPSIS:OBJECT_TYPE:RCS_SIZE:COUNTRY_CODE:LAUNCH_DATE:SITE:DECAY_DATE:FILE:GP_ID:TLE_LINE0:TLE_LINE1:TLE_LINE2:masa_en_orbita:clase_objeto:lat_caida:lon_caida:fecha_caida_tip:pais_caida_calc:constelacion_calc:dias_en_orbita:delta_tiempo:dias_diferencia:horas_diferencia
3,0:GENERATED VIA SPACE-TRACK.ORG API:"2004-12-06T02:14:36":18 SPCS:DELTA 1 R/B(2):1976-066C:EARTH:TEME:UTC:SGP4:"2004-12-06 08:49:32.431872":16,91268754:0,011968:24,3442:8,9281:172,7017:187,7095:0:U:9017:999:31794:-0,00013986:-0,80477447:-1,1255e-05:6411,018:85,143:109,61:-43,843:ROCKET BODY:LARGE:US:1976-07-08:AFETR:2004-12-06:73622:40039044:0 DELTA 1 R/B(2):1 09017U 76066C   04341.36773648 -.80477447 -11255-4 -13986-3 0  9990:2 09017 024.3442 008.9281 0119680 172.7017 187.7095 16.91268754317946:65,41:Rocket Body:0,8:162,89999999999998:"2004-12-06 08:55:00":Océano / Desconocido:NoConstelacion:10378,371527777777:"0 days 00:05:27.568128":0,003791297777777778:0,09099114666666666
3,0:GENERATED VIA SPACE-TRACK.ORG API:"2020-04-18T10:26:09":18 SPCS:OPS 7940:1976-080A:EARTH:TEME:UTC:SGP4:"2020-04-18 09:47:23.078400":15,24948834:0,0600645:61,8243:34,3548:283,4549:190,8427:0:U:9270:999:575:0,0022702:0,99999999:9,6157e-06:6869,076:94,429:903,528:78,353:PAYLOAD:LARGE:US:1976-08-06:AFWTR:2020-04-18:2735850:152380105:0 OPS 7940:1  9270U 76080A   20109.40790600  .99999999  96157-5  22702-2 0  9997:2  9270  61.8243  34.3548 0600645 283.4549 190.8427 15.24948834  5753:693,76:Payload:-46,1:-52,39999999999998:"2020-04-18 13:41:00":Océano / Desconocido:NoConstelacion:15961,570138888888:"0 days 03:53:36.921600":0,1622328888888889:3,8935893333333333
3,0:GENERATED VIA SPACE-TRACK.ORG API:"2020-01-06T11:40:12":18 SPCS:MOLNIYA 2-17:1977-010A:EARTH:TEME:UTC:SGP4:"2020-01-06 11:22:43.862592":15,9016114:0,0346833:61,4273:56,3577:286,181:173,9476:0:U:9829:999:31282:0,00095425:0,99999999:1,0088e-05:6679,968:90,556:533,516:70,15:PAYLOAD:LARGE:CIS:1977-02-11:PKMTR:2020-01-06:2679229:146213984:0 MOLNIYA 2-17:1  9829U 77010A   20006.47411878  .99999999  10088-4  95425-3 0  9992:2  9829  61.4273  56.3577 0346833 286.1810 173.9476 15.90161140312820:1650,0:Payload:-45,4:93,60000000000002:"2020-01-06 12:14:00":Océano / Desconocido:NoConstelacion:15669,509722222223:"0 days 00:51:16.137408":0,035603442222222226:0,8544826133333333
3,0:GENERATED VIA SPACE-TRACK.ORG API:"2019-12-11T01:10:12":18 SPCS:SL-6 R/B(2):1977-010E:EARTH:TEME:UTC:SGP4:"2019-12-11 00:29:43.726272":15,10373451:0,0607883:61,5386:72,5722:278,0463:118,6092:0:U:9850:999:31322:0,0070818:0,99999999:8,674e-06:6913,197:95,34:955,303:114,82:ROCKET BODY:LARGE:CIS:1977-02-11:PKMTR:2019-12-11:2664546:144550783:0 SL-6 R/B(2):1  9850U 77010E   19345.02064498  .99999999  86740-5  70818-2 0  9990:2  9850  61.5386  72.5722 0607883 278.0463 118.6092 15.10373451313228:891,97:Rocket Body:-42,7:-85,5:"2019-12-11 03:12:00":Océano / Desconocido:NoConstelacion:15643,133333333333:"0 days 02:42:16.273728":0,11268835333333334:2,7045204800000002
3,0:GENERATED VIA SPACE-TRACK.ORG API:"2019-10-15T14:40:20":18 SPCS:SL-6 R/B(2):1977-021D:EARTH:TEME:UTC:SGP4:"2019-10-15 14:26:50.105184":15,86421921:0,0350106:61,4502:89,73:273,4731:195,4724:0:U:9927:999:23268:0,0001:0,25126452:8,7077e-06:6690,46:90,77:546,562:78,088:ROCKET BODY:LARGE:CIS:1977-03-24:PKMTR:2019-10-15:2635044:141348215:0 SL-6 R/B(2):1  9927U 77021D   19288.60196881  .25126452  87077-5  10000-3 0  9996:2  9927  61.4502  89.7300 0350106 273.4731 195.4724 15.86421921232688:::50,4:-34,80000000000001:"2019-10-15 15:57:00":Océano / Desconocido:NoConstelacion:15545,664583333333:"0 days 01:30:09.894816":0,06261452333333334:1,50274856
3,0:GENERATED VIA SPACE-TRACK.ORG API:"2019-08-08T01:40:12":18 SPCS:MOLNIYA 3-7:1977-032A:EARTH:TEME:UTC:SGP4:"2019-08-08 01:21:26.066016":15,58149226:0,0475618:61,4893:56,2641:279,6545:235,5874:0:U:9941:999:30999:4,9358e-05:0,16569444:8,2387e-06:6771,15:92,417:715,063:70,967:PAYLOAD:LARGE:CIS:1977-04-28:PKMTR:2019-08-08:2532512:136479350:0 MOLNIYA 3-7:1  9941U 77032A   19220.05655169  .16569444  82387-5  49358-4 0  9998:2  9941  61.4893  56.2641 0475618 279.6545 235.5874 15.58149226309996:1750,0:Payload:-58,3:-68,0:"2019-08-08 03:15:00":Océano / Desconocido:NoConstelacion:15442,135416666666:"0 days 01:53:33.933984":0,07886497666666667:1,89275944
3,0:GENERATED VIA SPACE-TRACK.ORG API:"2023-01-04T13:26:12":18 SPCS:COSMOS 917:1977-047A:EARTH:TEME:UTC:SGP4:"2023-01-04 04:51:50.012352":15,61133018:0,0299563:61,8026:26,004:91,1623:37,6505:0:U:10059:999:33504:0,23415:0,99999999:7,7959e-06:6762,52:92,241:586,965:181,805:PAYLOAD:LARGE:CIS:1977-06-16:PKMTR:2023-01-04:3731469:222128864:0 COSMOS 917:1 10059U 77047A   23004.20266218  .99999999  77959-5  23415+0 0  9994:2 10059  61.8026  26.0040 0299563  91.1623  37.6505 15.61133018335048:1150,0:Payload:58,4:-52,0:"2023-01-04 06:16:00":Océano / Desconocido:NoConstelacion:16638,26111111111:"0 days 01:24:09.987648":0,058448931111111116:1,4027743466666667
3,0:GENERATED VIA SPACE-TRACK.ORG API:"2019-01-15T06:22:21":18 SPCS:PROGNOZ 6:1977-093A:EARTH:TEME:UTC:SGP4:"2019-01-16 12:05:55.325184":0,25425481:0,9392215:52,5173:268,0854:232,4241:1,5464:0:U:10370:999:3584:0,00080406:0,99999999:0,0:105250,069:5663,609:197725,061:18,806:PAYLOAD:LARGE:CIS:1977-09-22:TTMTR:2019-01-16:2394732:126003748:0 PROGNOZ 6:1 10370U 77093A   19016.50411256  .99999999  00000-0  80406-3 0  9991:2 10370  52.5173 268.0854 9392215 232.4241   1.5464  0.25425481 35849:901,88:Payload:-37,1:-168,10000000000002:"2019-01-16 11:44:00":Océano / Desconocido:NoConstelacion:15091,488888888889:"-1 days +23:38:04.674816":-0,015223671111111111:-0,3653681066666667
3,0:GENERATED VIA SPACE-TRACK.ORG API:"2011-10-28T09:22:58":18 SPCS:SL-3 R/B:1978-004B:EARTH:TEME:UTC:SGP4:"2011-10-27 21:57:19.520064":16,37308531:0,0006884:81,1592:191,9218:153,4864:206,6171:0:U:10582:999:86368:0,00039843:0,03637523:-9,43e-07:6551,113:87,949:177,487:168,468:ROCKET BODY:LARGE:CIS:1978-01-10:PKMTR:2011-10-28:1179476:85637267:0 SL-3 R/B:1 10582U 78004B   11300.91480926 +.03637523 -94300-6 +39843-3 0  9991:2 10582 081.1592 191.9218 0006884 153.4864 206.6171 16.37308531863683:1427,16:Rocket Body:-21,0:-102,0:"2011-10-28 16:51:00":Océano / Desconocido:NoConstelacion:12344,702083333334:"0 days 18:53:40.479936":0,7872740733333333:18,89457776
3,0:GENERATED VIA SPACE-TRACK.ORG API:"2013-11-15T19:48:36":18 SPCS:SL-3 R/B:1978-045B:EARTH:TEME:UTC:SGP4:"2013-11-15 15:13:47.172000":16,47147531:0,0003216:81,1669:269,3699:253,0327:107,0561:0:U:10861:999:95520:0,00023341:0,11496778:-9,2355e-07:6524,999:87,423:148,962:144,765:ROCKET BODY:LARGE:CIS:1978-05-12:PKMTR:2013-11-15:1581939:94355914:0 SL-3 R/B:1 10861U 78045B   13319.63457375  .11496778 -92355-6  23341-3 0  9997:2 10861 081.1669 269.3699 0003216 253.0327 107.0561 16.47147531955207:1427,16:Rocket Body:-6,0:90,0:"2013-11-15 20:20:00":Océano / Desconocido:NoConstelacion:12971,847222222223:"0 days 05:06:12.828000":0,21264847222222225:5,103563333333334
