CCSDS_OMM_VERS:COMMENT:CREATION_DATE:ORIGINATOR:OBJECT_NAME:OBJECT_ID:CENTER_NAME:REF_FRAME:TIME_SYSTEM:MEAN_ELEMENT_THEORY:EPOCH:MEAN_MOTION:ECCENTRICITY:INCLINATION:RA_OF_ASC_NODE:ARG_OF_PERICENTER:MEAN_ANOMALY:EPHEMERIS_TYPE:CLASSIFICATION_TYPE:NORAD_CAT_ID:ELEMENT_SET_NO:REV_AT_EPOCH:BSTAR:MEAN_MOTION_DOT:MEAN_MOTION_DDOT:SEMIMAJOR_AXIS:PERIOD:APOAPSIS:PERIAPSIS:OBJECT_TYPE:RCS_SIZE:COUNTRY_CODE:LAUNCH_DATE:SITE:DECAY_DATE:FILE:GP_ID:TLE_LINE0:TLE_LINE1:TLE_LINE2:masa_en_orbita:clase_objeto
3,0:GENERATED VIA SPACE-TRACK.ORG API:"2026-03-27T03:25:15":18 SPCS:ECHO 1 DEB (METAL OBJ):1960-009E:EARTH:TEME:UTC:SGP4:"2026-03-26T09:49:44.490144":12,17406979:0,01000544:47,2762:237,6805:190,4912:169,3787:0:U:53:999:92534:0,0009379511:1,1e-07:0,0:7981,993:118,284:1683,721:1523,994:DEBRIS:MEDIUM:US:1960-08-12:AFETR::5100202:317175968:0 ECHO 1 DEB (METAL OBJ):1 00053U 60009E   26085.40954271  .00000011  00000-0  93795-3 0  9994:2 00053  47.2762 237.6805 0100054 190.4912 169.3787 12.17406979925345::Payload Mission Related Object
3,0:GENERATED VIA SPACE-TRACK.ORG API:"2026-03-27T03:25:15":18 SPCS:COURIER 1B:1960-013A:EARTH:TEME:UTC:SGP4:"2026-03-26T15:56:40.079328":13,46427025:0,01648599:28,3272:198,4667:244,4989:113,8421:0:U:58:999:22293:4,7039229e-05:1,19e-06:0,0:7463,57:106,95:1208,48:962,391:PAYLOAD:LARGE:US:1960-10-04:AFETR::5100202:317176469:0 COURIER 1B:1 00058U 60013A   26085.66435277  .00000119  00000-0  47039-4 0  9992:2 00058  28.3272 198.4667 0164860 244.4989 113.8421 13.46427025222937:227,95:Payload
3,0:GENERATED VIA SPACE-TRACK.ORG API:"2026-03-27T03:25:15":18 SPCS:THOR ABLESTAR R/B:1960-013B:EARTH:TEME:UTC:SGP4:"2026-03-26T15:55:30.170496":13,53165913:0,01889795:28,2478:187,5645:343,0145:16,4142:0:U:59:999:23198:4,0871078e-05:1,18e-06:0,0:7438,77:106,417:1201,213:920,058:ROCKET BODY:LARGE:US:1960-10-04:AFETR::5100202:317175969:0 THOR ABLESTAR R/B:1 00059U 60013B   26085.66354364  .00000118  00000-0  40871-4 0  9996:2 00059  28.2478 187.5645 0188980 343.0145  16.4142 13.53165913231985:445,99:Rocket Body
3,0:GENERATED VIA SPACE-TRACK.ORG API:"2026-03-27T03:25:15":18 SPCS:SCOUT X-1 R/B:1961-004B:EARTH:TEME:UTC:SGP4:"2026-03-26T22:49:16.169376":12,27882011:0,11669427:38,8582:305,244:187,983:170,0681:0:U:82:999:6669:0,00021962414:2,35e-06:0,0:7936,532:117,275:2484,544:632,249:ROCKET BODY:MEDIUM:US:1961-02-16:WLPIS::5100202:317176470:0 SCOUT X-1 R/B:1 00082U 61004B   26085.95088159  .00000235  00000-0  21962-3 0  9990:2 00082  38.8582 305.2440 1166943 187.9830 170.0681 12.27882011 66692:23,79:Rocket Body
3,0:GENERATED VIA SPACE-TRACK.ORG API:"2026-03-26T10:28:28":18 SPCS:EXPLORER 11:1961-013A:EARTH:TEME:UTC:SGP4:"2026-03-26T03:09:51.476256":14,21832783:0,04944401:28,7743:75,2236:72,7669:292,6397:0:U:107:999:26466:0,00025729082:2,228e-05:0,0:7197,298:101,278:1175,026:463,3:PAYLOAD:MEDIUM:US:1961-04-27:AFETR::5098523:317104045:0 EXPLORER 11:1 00107U 61013A   26085.13184579  .00002228  00000-0  25729-3 0  9990:2 00107  28.7743  75.2236 0494440  72.7669 292.6397 14.21832783264669:36,67:Payload
3,0:GENERATED VIA SPACE-TRACK.ORG API:"2026-03-27T03:25:15":18 SPCS:THOR ABLE DEB (YO):1960-002D:EARTH:TEME:UTC:SGP4:"2026-03-26T12:44:01.635936":14,97687536:0,0027292:48,1615:147,3818:246,9437:112,8603:0:U:115:999:50574:0,0002892212:3,202e-05:0,0:6952,18:96,148:593,019:555,071:DEBRIS:SMALL:US:1960-04-01:AFETR::5100202:317176471:0 THOR ABLE DEB (YO):1 00115U 60002D   26085.53057449  .00003202  00000-0  28922-3 0  9996:2 00115  48.1615 147.3818 0027292 246.9437 112.8603 14.97687536505741::Rocket Mission Related Object
3,0:GENERATED VIA SPACE-TRACK.ORG API:"2026-03-27T03:25:15":18 SPCS:TRANSIT 4A:1961-015A:EARTH:TEME:UTC:SGP4:"2026-03-26T12:07:57.718560":13,92315475:0,00792125:66,8074:93,1497:326,7045:32,9065:0:U:116:999:28519:7,2525552e-05:1,8e-07:0,0:7298,665:103,425:978,344:862,715:PAYLOAD:MEDIUM:US:1961-06-29:AFETR::5100202:317175971:0 TRANSIT 4A:1 00116U 61015A   26085.50552915  .00000018  00000-0  72526-4 0  9999:2 00116  66.8074  93.1497 0079213 326.7045  32.9065 13.92315475285193:78,3:Payload
3,0:GENERATED VIA SPACE-TRACK.ORG API:"2026-03-27T03:25:15":18 SPCS:SOLRAD 3/INJUN 1:1961-015B:EARTH:TEME:UTC:SGP4:"2026-03-26T20:35:15.104544":13,90181345:0,00786585:66,8125:205,8562:350,5354:9,4237:0:U:117:999:28261:4,9044074e-05:-1,4e-07:0,0:7306,132:103,584:985,466:870,528:PAYLOAD:MEDIUM:US:1961-06-29:AFETR::5100202:317176472:0 SOLRAD 3/INJUN 1:1 00117U 61015B   26085.85781371 -.00000014  00000-0  49044-4 0  9994:2 00117  66.8125 205.8562 0078659 350.5354   9.4237 13.90181345282616::
3,0:GENERATED VIA SPACE-TRACK.ORG API:"2026-03-27T03:25:15":18 SPCS:THOR ABLESTAR R/B:1961-015C:EARTH:TEME:UTC:SGP4:"2026-03-26T20:40:51.432960":14,02706865:0,00860297:66,762:265,9149:325,9641:33,5943:0:U:118:999:30459:0,00011657189:1,07e-06:0,0:7262,574:102,659:946,919:821,959:ROCKET BODY:LARGE:US:1961-06-29:AFETR::5100202:317175972:0 THOR ABLESTAR R/B:1 00118U 61015C   26085.86170640  .00000107  00000-0  11657-3 0  9997:2 00118  66.7620 265.9149 0086030 325.9641  33.5943 14.02706865304599:445,99:Rocket Body
3,0:GENERATED VIA SPACE-TRACK.ORG API:"2026-03-27T03:25:15":18 SPCS:THOR ABLESTAR DEB:1961-015D:EARTH:TEME:UTC:SGP4:"2026-03-26T09:43:54.598656":14,27219409:0,01054715:66,7253:243,9332:317,1308:42,16:0:U:119:999:34650:0,00024168737:5,42e-06:0,0:7179,177:100,895:876,762:725,322:DEBRIS:MEDIUM:US:1961-06-29:AFETR::5100202:317176473:0 THOR ABLESTAR DEB:1 00119U 61015D   26085.40549304  .00000542  00000-0  24169-3 0  9990:2 00119  66.7253 243.9332 0105471 317.1308  42.1600 14.27219409346509::Rocket Fragmentation Debris
